"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.739854560E-1,-1.846408397E-1,2.577233553E0,9.370703697E0,9.720407029E0
5.759854560E-1,-1.842003018E-1,2.566124439E0,9.415887833E0,9.761038268E0
5.779854560E-1,-1.898506135E-1,2.562504292E0,9.454817772E0,9.797757427E0
5.799854560E-1,-2.071271837E-1,2.561192274E0,9.506350517E0,9.847502612E0
5.819854560E-1,-2.118102461E-1,2.549393892E0,9.526547432E0,9.864044747E0
5.839854560E-1,-2.154206783E-1,2.545486689E0,9.535675049E0,9.871930267E0
5.859854560E-1,-2.268553972E-1,2.539817095E0,9.562939644E0,9.897067691E0
5.879854560E-1,-2.453003228E-1,2.544576645E0,9.584180832E0,9.919252228E0
5.899854560E-1,-2.582960427E-1,2.535833120E0,9.588318825E0,9.921341862E0
5.919854560E-1,-2.814336121E-1,2.539529800E0,9.579335213E0,9.914236209E0
5.939854560E-1,-2.926959395E-1,2.545438766E0,9.565832138E0,9.903033572E0
5.959979560E-1,-3.133052289E-1,2.549681187E0,9.553113937E0,9.892472907E0
5.979901430E-1,-3.349775374E-1,2.573297501E0,9.575494766E0,9.920895625E0
5.999854560E-1,-3.586609662E-1,2.601530075E0,9.589716911E0,9.942799750E0
6.019854560E-1,-3.971980512E-1,2.624648333E0,9.646966934E0,1.000552428E1
6.039854560E-1,-4.437796772E-1,2.632913113E0,9.675764084E0,1.003740915E1
6.059854560E-1,-4.997273684E-1,2.642097473E0,9.677899361E0,1.004450808E1
6.079854560E-1,-6.052446365E-1,2.640861750E0,9.674566269E0,1.004677582E1
6.099870180E-1,-6.728855968E-1,2.641398191E0,9.685982704E0,1.006220753E1
6.119854560E-1,-7.226849794E-1,2.623173475E0,9.698661804E0,1.007310049E1
6.139854560E-1,-7.751563191E-1,2.609478712E0,9.720420837E0,1.009439586E1
6.159854560E-1,-8.042794466E-1,2.602075815E0,9.718208313E0,1.009263280E1
6.180198310E-1,-8.256260753E-1,2.593389750E0,9.694543839E0,1.006933508E1
6.200213930E-1,-8.262581825E-1,2.603531599E0,9.671597481E0,1.004991926E1
6.219854560E-1,-8.102744818E-1,2.616479397E0,9.649704933E0,1.003091793E1
6.239854560E-1,-7.754436135E-1,2.634215593E0,9.617775917E0,1.000210069E1
6.259870180E-1,-7.468568683E-1,2.652172089E0,9.548420906E0,9.938015585E0
6.279979560E-1,-7.156652212E-1,2.668701649E0,9.518934250E0,9.911823972E0
6.299901430E-1,-6.631842852E-1,2.692404270E0,9.488959312E0,9.885808160E0
6.319854560E-1,-6.179721951E-1,2.715321541E0,9.458073616E0,9.859514046E0
