t_s,vx,vy,vz
4.541431999999999,44.88560251055871,0.5333464433229524,-1.0245245509562537
4.546436999999999,44.93086955492323,0.5392036135867421,-1.0140464574310726
4.551441999999999,44.97372411727334,0.5467471207809862,-1.0028182140257975
4.556446999999999,45.01491634748917,0.5560669828912974,-0.9912118950809541
4.561451999999999,45.05506436907191,0.5665930860088046,-0.979257506591744
4.566456999999999,45.094516251565906,0.5778753402054466,-0.9669610497572124
4.571461999999999,45.13402814605032,0.5895536735387793,-0.954322524577357
4.576466999999999,45.174314195211,0.6009799565124018,-0.9415099646253171
4.581471999999999,45.21566845780092,0.6115480680231925,-0.9288114274550541
4.586476999999999,45.258258967393246,0.6210599685028082,-0.916214910668484
4.591481999999999,45.30177366163785,0.6297737095100034,-0.9038044310521757
4.596486999999999,45.34560641943162,0.6383134157450149,-0.8918980521552938
4.601491999999999,45.38933715684169,0.647093169941657,-0.8806938135461818
4.606496999999999,45.43267781631412,0.656124974498013,-0.8702937356085307
4.611501999999999,45.47570641343642,0.6652648006371011,-0.8607518291337112
4.616506999999999,45.51872300816064,0.6743146087905778,-0.8518820569514575
4.621511999999999,45.561685592093504,0.6831303701814662,-0.8433903603087706
4.626516999999999,45.6045221508465,0.6917360896059261,-0.8348866612680037
4.631521999999999,45.647202678424435,0.7003118030351823,-0.8261789214598507
4.636526999999999,45.68986520240526,0.7084734337306269,-0.8173271528747178
4.641531999999999,45.7330618331007,0.7157648905651588,-0.8087214334502579
4.646536999999999,45.7768705860983,0.7226302622677963,-0.8009258758963016
4.651541999999999,45.82133947099039,0.7289555260567658,-0.7939344790138068
4.656546999999999,45.866942582501174,0.7341585656251108,-0.787951283570162
4.661551999999999,45.91357189904794,0.7385814493181562,-0.7832163375269968
4.666556999999999,45.96101137746521,0.7424282179032885,-0.7793635677428237
4.671561999999999,46.00944705492324,0.7453628042342236,-0.7761049166636872
4.676566999999999,46.05880091583451,0.7473792071119214,-0.7733383639058936
4.681571999999999,46.109162978184635,0.7484294169440558,-0.7709138794934233
4.686576999999999,46.160635262357296,0.7484654241383004,-0.7688614694214809
4.691581999999999,46.21264765444362,0.7477332778553268,-0.7670671109082916
4.696586999999999,46.26487608969543,0.7463169948817056,-0.7651527284142866
4.701591999999999,46.317272558520365,0.7443185956011301,-0.762926283570162
4.706596999999999,46.36956100576257,0.742002132771394,-0.7600637116277161
4.711601999999999,46.42168141943164,0.7394816291742714,-0.7562469490377877
4.716606999999999,46.47376582590646,0.7367450824116817,-0.7515900185821525
4.721611999999999,46.525820226386074,0.7339485236586842,-0.7463329682224406
4.726616999999999,46.57767058609831,0.7315180380471732,-0.7405658159442624
4.731621999999999,46.62913086787288,0.7298677083109623,-0.7345406121073323
