GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Fri Jun 24 20:04:37 GMT+02:00 2022,24-Jun-2022 20:04:38.563,-5.790020260630414,37.19030051476249,8.506678581237793,4.687659740447998,97.00627641193569,326.81439208984375,-0.40850827,6.46332979,7.38893747,-0.00567937,
Fri Jun 24 20:04:38 GMT+02:00 2022,24-Jun-2022 20:04:39.564,-5.790061677469099,37.19035903616546,6.661863327026367,4.664810657501221,97.17457845620811,329.9010314941406,-0.06804321,4.90972233,8.55942345,0.03895975,
Fri Jun 24 20:04:39 GMT+02:00 2022,24-Jun-2022 20:04:40.564,-5.790086098195363,37.19039943114351,5.0990447998046875,4.530891418457031,97.29696407727897,331.3045959472656,-0.37256652,4.29374218,10.32899761,0.13040251,
Fri Jun 24 20:04:40 GMT+02:00 2022,24-Jun-2022 20:04:41.563,-5.790095764296577,37.19042770158922,3.05993914604187,4.487215518951416,97.2692301850766,341.0530090332031,-1.25002229,6.54398537,8.76176262,0.09334506,
Fri Jun 24 20:04:41 GMT+02:00 2022,24-Jun-2022 20:04:42.563,-5.790098725005692,37.190447163848546,1.0590434074401855,4.280598163604736,97.19606299418956,341.0530090332031,-1.21074784,7.34606218,5.91220379,-0.02950239,
Fri Jun 24 20:04:42 GMT+02:00 2022,24-Jun-2022 20:04:43.563,-5.790094271992867,37.19045300487258,0.9130270481109619,4.158094882965088,97.3644309444353,341.0530090332031,-0.60391343,7.26130724,6.14273643,0.01437328,
Fri Jun 24 20:04:43 GMT+02:00 2022,24-Jun-2022 20:04:44.564,-5.790093341357408,37.190464014695465,1.8726557493209839,4.066005229949951,97.24666993506253,341.0530090332031,-0.50853801,5.72371292,7.17498207,-0.01690213,
Fri Jun 24 20:04:44 GMT+02:00 2022,24-Jun-2022 20:04:45.563,-5.790094653704574,37.1904817192589,1.9921501874923706,4.046497821807861,97.11775922868401,341.0530090332031,-1.44921982,6.78058052,7.47023487,0.052377,
Fri Jun 24 20:04:45 GMT+02:00 2022,24-Jun-2022 20:04:46.564,-5.790098165027017,37.19050162301168,2.2314038276672363,3.952299118041992,96.96441101841629,341.0530090332031,-0.53634906,8.35583115,5.96064329,0.05005569,
Fri Jun 24 20:04:46 GMT+02:00 2022,24-Jun-2022 20:04:47.564,-5.790113090195313,37.19052726660558,2.9916090965270996,4.002147197723389,96.94918076694012,341.0530090332031,-2.15214801,7.59334469,5.93027496,0.02460692,
Fri Jun 24 20:04:47 GMT+02:00 2022,24-Jun-2022 20:04:48.563,-5.790134322859117,37.1905579085879,3.8879740238189697,4.125904560089111,97.09517529327422,322.0149841308594,-2.4942987,6.59038496,5.95453262,-0.04057485,
Fri Jun 24 20:04:48 GMT+02:00 2022,24-Jun-2022 20:04:49.563,-5.790168044123618,37.19058713635928,4.3111701011657715,4.22791051864624,97.49745658226311,298.25885009765625,-3.08527374,7.15660381,5.93489075,0.01755828,
Fri Jun 24 20:04:49 GMT+02:00 2022,24-Jun-2022 20:04:50.563,-5.7902172776410294,37.19060209709679,4.830572605133057,4.1065449714660645,97.65409037098289,272.4641418457031,-1.89827633,7.29147434,6.96965504,0.04873341,
